id,text
187,widowers usually fell into two categories-those who were still devastated by their wives ' deaths or those who were ready to have fun and live a little .
188,she certainly hoped this pesh guy fell into the second category .
189,"more than anything , she wanted to have a little fun herself ."
190,`` do you really think you might be interested in dating pesh ? ''
191,"emma asked , as she moved noah to her shoulder to burp him ."
192,"with a shrug , megan replied , `` dating him or just having some fun with him ."
193,sounds like he could use some . ''
194,emma grimaced as she wiped noah 's face off .
195,`` this is exactly why i told aidan not to try and fix you two up . ''
196,`` what do you mean ? ''
197,"`` pesh needs a relationship , not a hook-up after all he 's been through ."
198,"besides his wife 's death , he has n't had it easy on the dating front . ''"
199,`` what happened ? ''
200,"when casey snorted , emma shot her a death glare ."
201,`` nothing .
202,it 's just he does n't need to get involved with someone who is n't interested in a long-term relationship . ''
203,"`` em , you might as well tell her , '' casey urged ."
204,megan glanced between the two of them .
205,`` tell me what ? ''
206,"`` fine , '' emma huffed resignedly ."
207,she handed noah to casey .
208,`` make yourself useful by changing his diaper . ''
209,"as casey got busy cleaning up noah , emma turned to megan ."
210,"`` when aidan and i broke up- '' `` what you meant to say is , after you left aidan when he did n't show up for noah 's gender ultrasound because he was cheating on you ? ''"
211,"casey interrupted , waving around the wet wipe in her hand ."
212,emma closed her eyes for a moment before shaking her head .
213,"`` yes , that 's right ."
214,thank you so very much for bringing up that aspect of our break-up on today of all days . ''
215,casey gripped noah 's ankles and hoisted up his little butt to slide on the new diaper .
216,`` you 're welcome . ''
217,"`` anyway , as you were saying , '' megan pressed ."
218,`` right .
219,so it was when aidan and i were broken up that i met pesh .
220,"i was with your papa fitzgerald the day of his heart attack at the vfw , and pesh was the doctor who treated him . ''"
221,`` so ... you both struck up a friendship then ? ''
222,megan asked .
223,emma grimaced .
224,`` not exactly .
225,"you see , patrick wanted to force aidan to really fight for me , and he felt the best way to do it would be for him to have some competition . ''"
226,megan felt her eyes widening in surprise .
227,`` papa wanted pesh to date you ? ''
228,`` yeah . ''
229,`` did you ? ''
230,emma was momentarily distracted by casey blowing raspberries on noah 's stomach .
231,a smile spread across her face as noah kicked his legs and giggled at casey .
232,`` want me to get him in his dress ? ''
233,"casey asked , as she glanced up ."
234,`` if you do n't mind . ''
235,"bringing her hand to her hip , megan huffed out an exasperated breath ."
236,"`` um , could you please focus for just a minute considering the bomb you just dropped on me ? ''"
237,`` i 'm sorry .
238,i did n't want to tell you at all .
239,"i mean , whatever was between us is all in the past ."
240,neither one of us really cared for each other like we thought we did . ''
241,`` did you ... '' megan said .
242,"at emma 's confused expression , she wiggled her eyebrows suggestively ."
243,emma 's face flushed .
244,"`` no , of course not ! ''"
245,casey eyed emma as she took the baptism gown off the hanger .
246,`` you did make out with him though . ''
247,`` one time .
248,"and he certainly did n't get to second base , '' emma argued ."
249,"with a wicked grin , casey added , `` pity ."
250,wish you could inform us on what he has going on below the waist . ''
251,emma rolled her eyes .
252,`` you 're impossible . ''
253,she snatched the gown away from casey and then started wrestling noah into the yards of fabric .
254,`` it was n't like we were in a relationship .
255,we did n't really even go out together .
256,"he came to the house once to bring me dinner and check on me when i was on bed rest , and then he took me to the opera ."
257,that was it . ''
258,`` was there no chemistry between you two ? ''
259,megan asked .
260,"without responding , emma pulled noah up into a sitting position and started fastening the row of buttons down the back of the gown ."
261,`` em ? ''
262,megan pressed .
263,she gave a heavy sigh before picking noah up .
264,she stared into his face before she responded .
265,`` we had great chemistry together .
266,he was an amazing kisser who got all my senses up and running in all the right ways .
267,"besides the physical part , he is smart , kind , and intelligent-any woman 's dream . ''"
268,she shook her head .
269,`` but it did n't matter because he was n't aidan .
270,"i could never , ever love another man like i do him . ''"
271,"giving noah a kiss on the cheek , she added , `` neither one of us were really in a good place-i was trying to make sure that aidan really was the one , and after being pressured by family and friends , he was trying to date for the first time after his wife 's death . ''"
272,megan crossed her arms over her chest .
273,"`` i get that he does n't need to be hurt , but who is to say that having a fling is going to hurt him ?"
274,maybe it could give him the confidence he needs to go out and find the real woman of his dreams ? ''
275,casey snorted .
276,`` how could a man that looks like that have any self-confidence issues ? ''
277,megan shrugged .
278,`` you never know .
279,"if he was married a long time before his wife died , he might find it hard to get back into the dating world ."
280,especially if the last woman he cared about loved someone else . ''
281,emma shook her head .
282,"`` trust me , he is n't the fling kind of guy ."
283,he wants a wife and children . ''
284,"although megan had a son , she was n't quite ready for marriage ."
285,maybe in a few years but right now she just wanted to date and have fun .
286,she 'd willingly sacrificed so much to ensure that mason could have all of her attention since he was short a father .
287,"after all , he was the greatest hurdle in her having a committed relationship ."
288,she did n't want to open her son up to any hurt that might come from him getting attached to a man she dated only to have them disappear when they broke up .
289,`` ankle really wants to fix us up ? ''
290,megan questioned .
291,emma nodded .
292,"`` regardless of what happened with pesh when we were broken up , aidan does respect and admire him ."
293,he wants pesh to be happy . ''
294,she gave megan a pointed look .
295,"`` most of all , he wants that for you , too . ''"
296,megan wrinkled her nose .
297,`` but i 'm really not ready for all of that yet . ''
298,`` then think long and hard before you agree to do anything about pesh .
299,"he is unknowingly very persuasive , and in the moment , you might forget your resolve only to have it come back later to hurt you ... or him . ''"
300,megan held up her hands in defeat .
301,"`` okay , okay , i promise . ''"
302,emma smiled .
303,`` nothing would make me happier than if you were to fall in love with pesh . ''
304,"with a laugh , megan said , `` did you just hear anything that i said ?"
305,i 'm anti-love . ''
306,`` so was aidan . ''
307,"just as megan opened her mouth to protest , aidan waltzed into the room ."
308,`` everything okay ? ''
309,`` fine .
310,"just finished feeding and dressing him , '' emma replied `` good ."
311,the natives are getting restless to see the little man of the hour before the baptism . ''
312,he strode over to them and took his son into his arms .
313,"`` you ready to go work the crowd , noah ? ''"
314,noah 's response was to grunt and reach for aidan 's tie .
315,"with a laugh , aidan announced , `` i 'll take that as a yes . ''"
316,he then leaned in to kiss emma 's cheek .
317,`` ready mrs .
318,fitzgerald ? ''
319,she smiled before linking her arm through his .
320,"`` yes , mr. fitzgerald , i am . ''"
321,megan and casey followed them out the door and down the hallway .
322,they entered a noisy room crammed with family and friends .
323,she left aidan and emma 's side to seek out her parents to check on mason .
324,"she found her parents , but their arms were empty ."
325,"in a panic , she demanded , `` where 's mason ? ''"
326,her father smiled and pointed over to where a pile of her younger cousins were .
327,"mason was on the lap of her aunt becky 's oldest son , john ."
328,mason was mesmerized with what whatever john was doing on his phone .
329,megan smiled as she walked up to them .
330,`` everything okay ? ''
331,"without taking his eyes off the screen , john replied , `` we 're fine . ''"
332,`` are you sure he 's not bothering you ? ''
333,what she was n't asking was if john was actually keeping an eye on mason between playing on his phone .
334,john glanced up .
335,"`` considering i have two younger brothers , i think i can handle him ."
336,"besides , he 's really into this game . ''"
337,"`` okay then , '' megan replied ."
338,"she spoke to john 's brothers , percy and georgie , before making her way around the room ."
339,all her relatives were interested to hear how her schooling was going and how mason was .
340,she had just turned away from talking to her great aunt and uncle when someone pressed up against her back .
341,"`` do n't look now , but there 's dr. mcdreamy bollywood now , '' casey whispered into her ear ."
342,"without hesitation , her eyes scanned the crowd ."
343,and then she saw him .
344,ankle was taking him around and making introductions .
345,pesh was impossibly tall and wearing a tailor-made black suit .
346,"even beneath the lines of the clothing , she could make out his large biceps and thick thighs ."
347,he obviously spent his downtime between hospital shifts working out .
348,"his wavy , jet-black hair was cut short , and his dark eyes took in all that ankle was saying ."
349,"and while she may have been in a church about to stand up as a godmother , she could n't help the ni**les tightening and panties moistening reaction of seeing him ."
350,"he was all the way across the room , but he had the same effect as if he were standing by her side , rubbing against her ."
351,`` see what i mean ? ''
352,casey questioned .
353,megan licked her lips .
354,"`` oh my , '' she finally managed ."
355,`` sure you do n't want to give him a chance ? ''
356,"fighting the urge to fan herself , megan quickly replied , `` i 'd like to give him many , many chances . ''"
357,"chances at ripping off my clothes , chances at kissing and licking me all over my body , chances at allowing his hands , fingers , and the promising bulge in his pants to stroke me until i orgasm ... yep , many , many chances ."
358,"as if she could read megan 's mind , casey laughed ."
359,"`` oh girl , this has trouble written all over it . ''"
360,chapter three pesh paced nervously around the back of the cathedral .
361,the fact he was in a catholic church was n't the only reason he felt out of his element .
362,"as he eyed the massive statue of jesus , he fidgeted absently with his tie ."
363,"although emma had sworn aidan was fine with the idea of him as godfather , he was still a little apprehensive about seeing aidan again ."
364,"the last time they 'd been together , pesh was the hero flying aidan from north carolina to atlanta just in time for noah 's unexpected birth ."
365,but that was six months ago .
366,"the euphoria of the moment now had time to fade , and to aidan , pesh could still be the man who almost stole emma away ."
367,"a side door opened , and aidan stepped out ."
368,he immediately met pesh 's anxious gaze .
369,"when his lips curved into a wide smile , pesh exhaled the nervous breath he 'd been holding ."
370,"`` well , there you are , '' aidan said , as he strode up ."
371,"he bypassed throwing out his hand , and instead , he pulled pesh to him for a bear hug ."
372,`` emma was worried about you . ''
373,`` she was ? ''
374,"`` yeah , she asked me to come out and see if i could find you . ''"
375,`` i 'm sorry .
376,"i was n't sure where to go , and no one was out here . ''"
377,`` do n't worry about it . ''
378,aidan pulled away .
379,`` so how the hell are you ? ''
380,"pesh could n't help laughing at aidan 's choice of words , especially in a church ."
381,"`` i 'm good , thank you . ''"
382,he cocked his head at aidan .
383,`` and what about you ?
384,is fatherhood agreeing with you ? ''
385,a beaming smile lit aidan 's face .
386,`` i 'm absolutely fantastic .
387,i never could have imagined that being a father would be this ... amazing . ''
388,pesh nodded .
389,`` i want you to know what an honor it is for me to be noah 's godfather . ''
390,`` we 're glad to have you . ''
391,aidan patted pesh 's back .
392,`` and i do mean that . ''
393,`` i hope you do .
394,i have had my concerns ... '' aidan shook his head .
395,"`` well , do n't ."
396,"i 'll admit i was n't too thrilled with the prospect at first , but em was able to make me see the light ."
397,you were there for us when we really needed you .
398,"i mean , besides my wedding day , i would 've missed the most important days of my life-my son 's birth ."
399,i can never thank you enough .
400,"so when it comes down to it , i do n't think i could ask for a better godfather for my son . ''"
401,aidan 's words touched pesh .
402,`` thank you .
403,that means a lot .
404,you have my word that i will always do what is right by noah . ''
405,"after giving him a hearty thump on the shoulder , aidan said , `` come on back with me ."
406,i want to introduce you to everyone . ''
407,`` do they ... '' pesh was n't sure how to ask if aidan 's family knew the story of how he and emma truly knew each other .
408,aidan chuckled .
409,`` let 's just say that pop 's the only one who knows the truth .
410,the others just think you met us when pop had his heart attack . ''
411,pesh could n't help the relieved breath that whooshed out of him .
412,it would have been a nightmare to have most of aidan 's family hating him for trying to steal emma away .
413,`` i see . ''
414,he followed aidan back into a large room filled with chattering people .
415,"as he craned his neck , he saw emma in the corner with noah in her arms ."
416,she looked radiant as ever in an emerald suit .
417,"noah , however , did n't seem too thrilled to be outfitted in the lacy gown that flowed over emma 's arms and stopped mid-thigh ."
418,his tiny brows wrinkled as he waved his fists back and forth as if any moment he might let loose with a scream .
419,"taking him by the elbow , aidan guided him over to a group of men and women ."
420,aidan introduced him to his four sisters and their husbands .
421,"pesh smiled , nodded , and shook their hands before being bombarded by a hoard of aidan 's nieces and nephews ."
422,"`` now i want you to meet my niece , megan ."
423,she 's the godmother . ''
424,`` it would be my pleasure . ''
425,aidan surprised pesh by leaning in and whispering in his ear .
426,`` i 'm pretty sure over half of the people here are gunning for you two to get together .
427,"you know , a real romantic story to tell future kids about how you two met being the godmother and godfather of this sweet and adorable kid . ''"
428,pesh gulped .
429,why was everyone he knew hell-bent on setting him up ?
430,"had emma harbored some secret , ulterior motive in asking him to be noah 's godfather ?"
431,"`` i 'm flattered , but i do n't know if that 's such a good idea . ''"
432,"pulling back , aidan surmised him before winking ."
433,"`` normally i would agree because she is , after all , my niece-my favorite one if i 'm being honest ."
434,"but as much as it pisses me off to admit it , you two would make a great couple . ''"
435,`` we would ? ''
436,`` hell yeah . ''
437,aidan swept his hand over his chin .
438,"`` megan needs someone strong and stable like you are , and then you need someone who is so full of life like she is ."
439,i can guaran-damn-tee you that you 've never been out with a woman like her before .
440,"emma is like , one tenths the sassiness that megan is . ''"
441,pesh could n't help giving aidan a skeptical look .
442,"`` just keep an open mind , okay ? ''"
443,"with a reluctant nod , pesh replied , `` i will . ''"
444,"`` megan , '' aidan called ."
445,"when the tiny blonde turned around , pesh fought to catch his breath ."
446,everything about her from her sparkling blue eyes to her long blonde hair was just like jade 's .
447,how was it possible for someone to remind him so much of what he had lost ?
448,aidan grinned as he glanced between the two of them .
449,"`` i wanted to introduce you to pesh nadeen , the godfather . ''"
450,"thrusting out her hand , megan smiled warmly at him ."
451,`` it 's very nice to finally meet you . ''
452,he stared at it a moment before his good manners overrode his shock .
453,he took her hand in his and shook it .
454,"`` it 's very nice meeting you , too . ''"
455,"`` i 'll leave you two to get to know each other , '' aidan said ."
456,"before pesh could protest , aidan turned and disappeared into the crowd ."
457,he turned to megan and tried clearing his throat of what felt like a wad of sawdust .
458,"he knew he should try to make polite conversation , but he was still so shell-shocked by the way megan looked ."
459,"finally , she took pity on him ."
460,"`` so , emma tells me you 're a doctor . ''"
461,pesh smiled politely .
462,"`` yes , i am . ''"
463,`` what type of medicine ? ''
464,`` emergency services . ''
465,megan 's face lit up .
466,"`` oh , how interesting ."
467,"i 'm about to finish nursing school , and i 've asked for clinical placement in the er . ''"
468,pesh widened his eyes in surprise .
469,aidan had failed to mention that they had the medical profession in common .
470,`` really ? ''
471,megan nodded .
472,"`` i 'm hoping to get placed at grady , even though my parents would die a thousand deaths . ''"
473,he cocked his brows at her .
474,`` i assume they 're afraid for your safety ? ''
475,`` yes .
476,they ca n't help worrying about the neighborhood .
477,"they sometimes forget i 'm an adult , rather than a child . ''"
478,`` what is it about grady that attracts you ? ''
479,`` besides the fact that it 's nationally recognized for its er ? ''
480,he smiled .
481,"`` yes , besides the accolades . ''"
482,megan tilted her head in thought .
483,`` i guess it 's the fact i really want to feel like i 'm making a difference and saving lives .
484,"i feel like at grady i would be seeing some of the worst cases imaginable , and in turn some people who really do n't have a lot of hope . ''"
485,he was taken aback by her words and the passion with which she delivered them .
486,"while she possessed a beautiful exterior , she certainly seemed to have a greater depth of character than he had originally expected ."
487,he did n't often meet someone like her .
488,most of the women at the hospital who threw themselves at him possessed only surface beauty .
489,he did n't have to be with them very long to perceive their true shallowness and self-centeredness .
490,"to them , he was a prize to be won ."
491,he could n't ever imagine megan feeling that way .
492,she was n't the type of woman to care about a trophy man on her arm-she wanted to make her own way in the world .
493,`` it is so good to hear someone speak with such passion about nursing . ''
494,`` really ? ''
495,he nodded .
496,`` we desperately need more people like you .
497,i know i would love to work alongside someone who had your passion . ''
498,she smiled at his compliments .
499,he could n't help noticing what a nice smile she had .
500,the way it framed her heart shaped face made her appear much less like jade than he had originally thought .
501,`` thank you .
502,maybe we 'll end up together . ''
503,"she licked her lips before adding , `` you know , at the same hospital . ''"
504,`` i would like that .
505,but i 'm afraid that wellstar pales in comparison to grady . ''
506,`` surely the suburbs offer some interesting cases ? ''
507,`` they do .
508,"i 've been there since my residency , so i ca n't imagine working anywhere else ."
509,"after all , i would n't be standing here today with you if it were n't for wellstar and your grandfather . ''"
510,`` that 's true . ''
511,"tilting her head , she gave him a very alluring smile ."
512,`` and what a pity that would be if our paths had n't crossed . ''
513,he sucked in a breath at the directness of her statement .
514,could she really be interested in him ?
515,"sure , it was common knowledge that aidan and others wanted them to get together , but he had imagined that she had not known their intentions ."
516,"and while originally he had been turned off by aidan 's suggestion of fixing them up , he could n't help but be intrigued now ."
517,"there was something so refreshingly different about megan , despite her physical similarities to jade ."
518,`` mommy ! ''
519,a small voice cried .
520,pesh glanced over megan 's shoulder where a fair-haired toddler came bounding over .
521,he wrapped his arms around megan 's thigh .
522,she gave him an apologetic look before bending over .
523,"`` what 's the matter , sweetie ? ''"
524,he grinned up at her .
525,`` miss you . ''
526,"with a smile , she bent over and picked him up ."
527,"when he sat on her hip , she turned her attention back to pesh ."
528,"`` this is my son , mason . ''"
529,pesh could n't help noticing how megan searched his face to see if there was any judgment or even disgust at her having a son .
530,he felt neither of those emotions .
531,he had to admit he was a little surprised .
532,aidan had failed to mention that fact as well .
533,"not to mention , she seemed young to be a mother , considering she was just finishing her clinicals ."
534,"`` it 's nice to meet you , mason . ''"
535,`` can you tell pesh hi ? ''
536,megan urged .
537,"`` hi , esh , '' mason said , with a grin ."
538,"pesh could n't help laughing , and he was thankful that megan giggled as well ."
539,`` how old are you ? ''
540,mason held up two fingers to which megan shook her head .
541,`` he 's seventeen months . ''
542,pesh smiled .
543,`` you must be very proud of him . ''
544,`` i am . ''
545,she snuggled mason against her chest .
546,`` he 's the sweetest and best boy i could ever hope for . ''
547,`` you 're very blessed . ''
548,`` thank you . ''
549,"they were interrupted by aidan 's sister , angie , who pesh had met earlier ."
550,`` looks like it 's time to start .
551,come on mason .
552,mommy has to go be noah 's godmother now . ''
553,mason reluctantly went to his grandmother .
554,"`` be good for grammy , '' megan instructed ."
555,"after angie walked off with mason , the other family members began filing out of the room ."
556,pesh turned to megan and gave her a sheepish smile .
557,"`` i must admit that even though i attended a class with emma , i 'm a little unsure of what i 'm supposed to do . ''"
558,`` it 's okay .
559,"just follow my lead , and you 'll be fine . ''"
560,`` thank you . ''
561,"once it was only the two of them and aidan and emma in the room , aidan motioned for them ."
562,a priest in decorated golden robes appeared at the door with a gleaming crucifix in his hands .
563,pesh tried not to feel intimidated as the odd man out in the situation .
564,"music struck up on the organ , and the priest motioned for them to follow ."
565,"before they went out the door , emma glanced down at noah ."
566,"`` please , please , do not scream in there and act like a demon baby ."
567,be the angel i know you can be . ''
568,he acknowledged her request by sticking his tongue out and flailing his fists .
569,aidan chuckled at emma 's plea .
570,"`` relax , babe ."
571,"if he feels you getting all tense , he 's going to get fussy . ''"
572,emma sighed .
573,`` he 's already fussy .
574,he was fine until i put him in the gown . ''
575,"`` i guess he feels that wearing a dress is insulting to his manhood , '' aidan reasoned with a smile ."
576,"when emma shot aidan a death glare , megan and pesh could n't help laughing at the two of them ."
577,aidan winked at emma before starting out the door .
578,"at megan 's side , pesh walked up the aisle ."
579,"when they reached the baptismal font , the music ended , and the priest began speaking ."
580,he informed the crowd of what was about to take place and the significance of all the religious rites noah was about to receive .
581,aidan and emma made the sign of the cross on noah 's forehead before megan leaned in to do the same .
582,"when megan elbowed him , pesh reached over to clumsily follow their lead ."
583,"after he finished , he glanced at megan ."
584,"she smiled and mouthed , `` good job . ''"
585,he returned her smile .
